Дата_и_Время,Цена_ЭЭ,sin_час,cos_час,День,Цена_EUR,Цена_USD,Цена_газ,Цена_нефть
2024-05-08 20:00:00,1897.58,-0.8660254037844386,0.5000000000000001,8,98.6096875,91.50068181818182,2.182,83.76
2024-05-08 21:00:00,1866.46,-0.7071067811865477,0.7071067811865474,8,98.6096875,91.50068181818182,2.179,83.77
2024-05-08 22:00:00,1773.57,-0.5000000000000004,0.8660254037844384,8,98.6096875,91.50068181818182,2.18,82.94608695652173
2024-05-08 23:00:00,1488.27,-0.2588190451025215,0.965925826289068,8,98.6096875,91.50068181818182,2.182,83.77
2024-05-09 00:00:00,1266.67,0.0,1.0,9,98.027609375,90.6461961722488,2.189,83.87
2024-05-09 01:00:00,1148.13,0.2588190451025207,0.9659258262890684,9,98.027609375,90.6461961722488,2.195,83.83
2024-05-09 02:00:00,1117.09,0.4999999999999999,0.8660254037844387,9,98.027609375,90.6461961722488,2.181,83.94
2024-05-09 03:00:00,1094.96,0.7071067811865476,0.7071067811865476,9,98.027609375,90.6461961722488,2.189,83.95
2024-05-09 04:00:00,1089.76,0.8660254037844386,0.5000000000000001,9,98.027609375,90.6461961722488,2.189,83.95
2024-05-09 05:00:00,1100.47,0.9659258262890684,0.2588190451025207,9,98.027609375,90.6461961722488,2.182,83.85
2024-05-09 06:00:00,1070.55,1.0,6.123233995736766e-17,9,98.027609375,90.6461961722488,2.159,83.81
2024-05-09 07:00:00,1137.99,0.9659258262890684,-0.2588190451025206,9,98.027609375,90.6461961722488,2.161,84.15
2024-05-09 08:00:00,1361.34,0.8660254037844387,-0.4999999999999998,9,98.027609375,90.6461961722488,2.197,84.19
2024-05-09 09:00:00,1562.07,0.7071067811865476,-0.7071067811865475,9,98.027609375,90.6461961722488,2.227,84.0
2024-05-09 10:00:00,1593.69,0.4999999999999999,-0.8660254037844387,9,98.027609375,90.6461961722488,2.274,84.3
2024-05-09 11:00:00,1591.31,0.258819045102521,-0.9659258262890682,9,98.027609375,90.6461961722488,2.271,84.13
2024-05-09 12:00:00,1590.55,1.2246467991473532e-16,-1.0,9,98.027609375,90.6461961722488,2.279,84.04
2024-05-09 13:00:00,1588.06,-0.2588190451025208,-0.9659258262890684,9,98.027609375,90.6461961722488,2.29,83.99
2024-05-09 14:00:00,1590.52,-0.4999999999999997,-0.8660254037844388,9,98.027609375,90.6461961722488,2.299,83.85
2024-05-09 15:00:00,1595.36,-0.7071067811865471,-0.7071067811865479,9,98.027609375,90.6461961722488,2.315,83.5
2024-05-09 16:00:00,1598.55,-0.8660254037844385,-0.5000000000000004,9,98.027609375,90.6461961722488,2.31,83.69
2024-05-09 17:00:00,1612.13,-0.9659258262890684,-0.2588190451025206,9,98.027609375,90.6461961722488,2.254652173913044,83.6
2024-05-09 18:00:00,1626.34,-1.0,-1.8369701987210287e-16,9,98.027609375,90.6461961722488,2.311,84.06
2024-05-09 19:00:00,1659.87,-0.9659258262890684,0.2588190451025203,9,98.027609375,90.6461961722488,2.311,84.2
2024-05-09 20:00:00,1762.51,-0.8660254037844386,0.5000000000000001,9,98.027609375,90.6461961722488,2.317,84.17
2024-05-09 21:00:00,1632.75,-0.7071067811865477,0.7071067811865474,9,98.027609375,90.6461961722488,2.337,84.1
2024-05-09 22:00:00,1464.49,-0.5000000000000004,0.8660254037844384,9,98.027609375,90.6461961722488,2.339,83.96826086956521
2024-05-09 23:00:00,1278.96,-0.2588190451025215,0.965925826289068,9,98.027609375,90.6461961722488,2.335,84.1
2024-05-10 00:00:00,1266.08,0.0,1.0,10,98.027609375,90.6461961722488,2.333,84.26
2024-05-10 01:00:00,1146.32,0.2588190451025207,0.9659258262890684,10,98.027609375,90.6461961722488,2.326,84.32
2024-05-10 02:00:00,1087.95,0.4999999999999999,0.8660254037844387,10,98.027609375,90.6461961722488,2.319,84.27
2024-05-10 03:00:00,1080.06,0.7071067811865476,0.7071067811865476,10,98.027609375,90.6461961722488,2.317,84.36
2024-05-10 04:00:00,1077.96,0.8660254037844386,0.5000000000000001,10,98.027609375,90.6461961722488,2.311,84.38
2024-05-10 05:00:00,1084.09,0.9659258262890684,0.2588190451025207,10,98.027609375,90.6461961722488,2.321,84.45
2024-05-10 06:00:00,1085.71,1.0,6.123233995736766e-17,10,98.027609375,90.6461961722488,2.324,84.51
2024-05-10 07:00:00,1163.57,0.9659258262890684,-0.2588190451025206,10,98.027609375,90.6461961722488,2.293,84.42
2024-05-10 08:00:00,1415.15,0.8660254037844387,-0.4999999999999998,10,98.027609375,90.6461961722488,2.283,84.17
2024-05-10 09:00:00,1598.15,0.7071067811865476,-0.7071067811865475,10,98.027609375,90.6461961722488,2.285,84.43
2024-05-10 10:00:00,1637.46,0.4999999999999999,-0.8660254037844387,10,98.027609375,90.6461961722488,2.292,84.45
2024-05-10 11:00:00,1631.06,0.258819045102521,-0.9659258262890682,10,98.027609375,90.6461961722488,2.278,84.33
2024-05-10 12:00:00,1609.28,1.2246467991473532e-16,-1.0,10,98.027609375,90.6461961722488,2.26,84.19
2024-05-10 13:00:00,1612.38,-0.2588190451025208,-0.9659258262890684,10,98.027609375,90.6461961722488,2.262,84.21
2024-05-10 14:00:00,1606.83,-0.4999999999999997,-0.8660254037844388,10,98.027609375,90.6461961722488,2.258,83.86
2024-05-10 15:00:00,1601.56,-0.7071067811865471,-0.7071067811865479,10,98.027609375,90.6461961722488,2.258,83.31
2024-05-10 16:00:00,1597.82,-0.8660254037844385,-0.5000000000000004,10,98.027609375,90.6461961722488,2.252,82.97
2024-05-10 17:00:00,1612.35,-0.9659258262890684,-0.2588190451025206,10,98.027609375,90.6461961722488,2.2924705882352936,82.84
2024-05-10 18:00:00,1623.73,-1.0,-1.8369701987210287e-16,10,98.027609375,90.6461961722488,2.2924705882352936,82.82
2024-05-10 19:00:00,1648.34,-0.9659258262890684,0.2588190451025203,10,98.027609375,90.6461961722488,2.2924705882352936,82.86
2024-05-10 20:00:00,1744.17,-0.8660254037844386,0.5000000000000001,10,98.027609375,90.6461961722488,2.2924705882352936,82.75
2024-05-10 21:00:00,1643.59,-0.7071067811865477,0.7071067811865474,10,98.027609375,90.6461961722488,2.2924705882352936,82.78
